Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,FC Proj,My Proj,Exp.,Used,Con.,Value
Russell Westbrook,,,PG,WAS,vs CLE,2nd,116.75,11000,34.5,81.8,56.6,10.9,1.59,57.15,10.59,13.49,10.96,31.2,18.9,35.6,37.25,31.8%,54.77,54.77,100,,76,5
Andrew Wiggins,,,SG/SF,GSW,vs SAC,8th,119.50,7000,26.6,59.1,31.5,2.3,0.95,34.46,9.51,9.28,9.84,23.2,14.5,33.0,37.25,19.4%,40.50,40.50,100,,71,5.8
Harrison Barnes,,,SF/PF,SAC,@ GSW,26th,112.50,7800,16.5,49.8,31.6,3.5,0.87,31.26,8.88,9.53,9.07,17.1,11.0,36.4,36.75,10.6%,30.78,30.78,100,,70,3.9
Stephen Curry,,,PG,GSW,vs SAC,8th,119.50,10500,37.2,78.6,50.6,5.8,1.48,53.50,11.13,11.83,11.28,33.4,20.9,34.1,36.50,32%,54.98,54.98,100,,77,5.2
Bradley Beal,,,SG/SF,WAS,vs CLE,3rd,116.75,9800,32.4,71,46.8,4.7,1.33,47.72,9.85,11.05,9.71,34.4,22.6,35.3,35.50,15.6%,48.94,48.94,100,,76,5
Kelly Oubre Jr.,,,SF/PF,GSW,vs SAC,8th,119.50,6500,20.1,59,29.1,1.4,0.94,34.02,10.39,11.11,10.25,22.1,13.2,30.8,35.50,19%,36.79,36.79,100,,62,5.7
Chuma Okeke,,,PF/C,ORL,vs IND,24th,110.25,5300,14.8,47.2,18.5,2.2,0.74,26.84,9.25,9.25,9.12,13.3,6.9,24.9,35.50,15.8%,28.65,28.65,100,,50,5.4
Darius Garland,,,PG,CLE,@ WAS,7th,109.75,7200,14.4,48.4,31.9,6.0,0.95,34.27,8.93,9.70,8.68,24.8,14.9,33.5,35.00,23.4%,28.97,28.97,100,,70,4
Cole Anthony,,,PG,ORL,vs IND,29th,110.25,6700,22.7,50.3,25.4,4.2,0.95,34.37,8.86,7.90,8.61,23.1,11.2,26.6,35.00,17.2%,34.50,34.50,100,,69,5.1
Bogdan Bogdanovic,,,SG,ATL,vs MIL,30th,110.25,8100,12.9,60.2,27.3,3.2,0.96,34.47,10.14,13.52,9.72,20.7,12.0,28.5,34.50,8%,33.20,33.20,100,,50,4.1
Malcolm Brogdon,,,PG,IND,@ ORL,22nd,115.25,8700,23.5,61.2,39.8,5.9,1.13,40.78,9.01,10.77,8.51,25.7,17.8,35.2,34.00,21.6%,39.67,39.67,100,,73,4.6
Khris Middleton,,,SG/SF,MIL,@ ATL,21st,116.25,8000,26.1,62,38.1,5.5,1.15,41.40,11.85,10.25,11.11,24.8,15.5,33.2,33.75,15.8%,41.46,41.46,100,,73,5.2
Kevin Huerter,,,SG/SF,ATL,vs MIL,26th,110.25,6400,14.5,46.9,25.2,3.6,0.80,28.92,8.52,9.24,7.99,17.0,10.7,31.4,33.75,12%,28.39,28.39,100,,63,4.4
Jrue Holiday,,,PG/SG,MIL,@ ATL,18th,116.25,8200,23.6,63.7,35.8,5.6,1.13,40.53,11.72,11.46,10.91,21.8,13.5,31.8,33.50,8%,40.77,40.77,100,,68,5
